n_players,lives_per_player,roles
10,2,wolf wolf wolf_cub witch vampire_witch cupid Tom Jerry kamikaze hunter forensic wizard barman overlord silversmith mason mason fox_4 barber ghost
8,2,fox_3 wolf wolf wizard ghost kamikaze overlord witch forensic barman cupid Tom Jerry hunter mason mason
10,2,fox_3 wolf wolf wizard ghost kamikaze overlord witch forensic barman cupid Tom Jerry hunter mason mason defender wolf_cup elder siversmith
10,2,Wolf Wolf Wolf Witch Kamikaze Crow Cupidevil Cupidevil Barman Barman Bookie Hunter Hunter Mason Mason Mage Elder Kill_Witch Bleeder Kill_Witch
12,2,wolf wolf silversmith silversmith mago mago zorro_4 fantasma_errante Cupido dictador héroe sobornador duelista bookie_pueblo vengador perdedor barbero fantasma_pueblerino rodelero caballero_de_espada_oxidada diva dog_bitch_wolf bruja bleeder
9,2,entertainer killwitch killwitch witch avenger mage cupid defender defender bookie bookie hunter hunter invalid nonameyet mason mason rabelrousser
10,2,entertainer killwitch2 killwitch2 killwitch2 witch avenger mage cupid defender defender bookie bookie hunter invalid nonameyet mason mason rabelrousser wolf naughtyboy
10,2,Mago Cupido Diablo Lobo Matabruja Rodelero Abogado Fantasma Fantasma_villagero Sobornador Comodín Bookie Vengador Perdedor Tristán Carapotato Naughtyboy Bruja Duelista Apostador
5,3,Wolf mage witch hunter kamikaze mayor silversmith town_entertainer villager villager villager villager defender anarchist3 town_bookie
6,85,wolf hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunterhunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunterhunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunterhunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunterhunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunterhunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunterhunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunterhunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunterhunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunterhunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter hunter
6,2,wolf wolf cupid devil wizard hypnotist hunter hunter silversmith detective1 detective2 villager
8,2,Grave_robbing_thief ghost villager_ghost hexer fairy_godmother fox3 duelista sobornador vampire_witch pregnant bookie bleeder promiscuo mártir cuervo rabbelrouser
5,2,wolf witch villager villager villager villager cupid hunter seer crow
5,2,wolf witch villager villager villager villager cupid hunter seer crow
5,2,wolf witch villager villager villager villager cupid hunter seer crow
5,2,Cupid wolf village loco villager villager weakbabbler seer witch crow
7,2,Wolf wolf_dog silversmith seer bookie witch witch hunter hunter villager villager villager cupid devil
5,2,wolf seer hunter witch brainwasher mage martir cupid jerry tom
5,2,"Wolf, bookie, devil, barman, witch, ghost, mage, silversmith, ghost_villager, brainwasher"
4,2,Wolf cupid tom Jerry silversmith witch mage hunter
19,2,Gohst Cupid Devil Avenger Terrorist Forensic Brainwasher_town Barman Barman Barman Elder Mage hypnotist Wolf Wolf Wolf Wolf Wolf_Albino_Odd Wolf_Albino_Even Wolf_Jakyll Hide Defender Diva Terrorist Kamikaze Kamikaze Hunter Cardshap Fool RabbelRouser Mason Mason Lawyer Killjoy Scientist Witch Witch Witch
13,2,Wolf alpha_wolf wolf_brainwasher Barman dictator duelyst bookie Loser kamikaze Witch wizard avenger elder defender hero promiscuous terrorist Cupid devil rotten_sword_Knight Tamer Hunter villager_ghost Crow Hunter Kamikaze
11,2,wolf wolf wolf entertainer_wolf mage mage witch hunter hunter kamikaze barman cupid defender elder villager villager mason mason invalid crow fox_3 bookie_town
9,1,Hyde_Wolf Brainwasher_Wolf Wizard Witch Jekyll Dictator Barman Duelyst Hunter
11,1,wolf wolf entertainer_wolf witch crow bookie cupid wizard defender barman distractor
6,2,wolf wolf witch hunter cupid crow bookie hexer bleeder villager villager villager
9,2,wolf wolf entertainer_and_wolf cupid mage mage witch witch crow hunter bookie_town defender barman fox_4 villager villager kamikaze invalid
7,2,wolf wolf entertainer mage witch invalid cupid avenger forensic elder barman fox_3 mage villager
9,1,wolf wolf entertainer defender witch mage Cupid devil hunter
6,2,wolf wolf defender witch cupid bookie mage mage villager hunter crow devil
6,3,wolf wolf detective bookie barman mage mage whitch duelist hunter devil sectarian silversmith barber kamikaze elder martyr mage
6,3,wolf wolf detective bookie barman mage mage witch duelist hunter devil sectarian silversmith barber kamikaze elder martyr mage
7,3,wolf wolf detective bookie barman mage mage witch duelist hunter devil sectarian silversmith barber kamikaze elder martyr mage cupid loser defender
6,2,alpha_wolf sectarian cupid devil detective hunter witch mage elder_barman terrorist duelist kamikaze
7,2,wolf wolf defender mage mage hunter cupid witch barman kamikaze villager crow mage fox_3
6,2,Hunter witch defender bookie_villager wolf cupid wizard entertainer mason mason rabbel_rouser wandering_ghost
5,3,wolf witch cupid witch promiscuous card_sharp silversmith lawyer distractor fairy_godmother hexer secretary villager villager villager
